iter	RMSE
0	3.047668653
1	2.90168484
2	2.747758941
3	2.617711225
4	2.476440423
5	2.352793701
6	2.229106225
7	2.123780349
8	2.016876924
9	1.911954728
10	1.825046617
11	1.730574376
12	1.654417917
13	1.569477746
14	1.493730484
15	1.421988244
16	1.354102336
17	1.291664199
18	1.228501099
19	1.16927619
20	1.120951304
21	1.071928973
22	1.02559876
23	0.9779031082
24	0.9336897356
25	0.8909139759
26	0.8512340625
27	0.8134790152
28	0.7797494017
29	0.7494975738
30	0.7212471904
31	0.6928619503
32	0.6713864817
33	0.6457384293
34	0.6232505764
35	0.602470337
36	0.5806825485
37	0.5616397917
38	0.5438444827
39	0.526542401
40	0.5125469377
41	0.4981351257
42	0.4838997114
43	0.4710642671
44	0.4600020197
45	0.4493883219
46	0.4384815343
47	0.4282538337
48	0.4197036145
49	0.4117622984
50	0.4044483938
51	0.3982784558
52	0.3903801367
53	0.3836085931
54	0.377914602
55	0.3713194642
56	0.3670776401
57	0.3618275932
58	0.3576316026
59	0.3525914492
60	0.34898619
61	0.3443883379
62	0.3407039891
63	0.3373902758
64	0.3346262306
65	0.3319025018
66	0.3295012022
67	0.326960357
68	0.3244993376
69	0.3223737986
70	0.320400008
71	0.3182581889
72	0.3165172491
73	0.3153882318
74	0.3138628424
75	0.3125496592
76	0.3110064555
77	0.3095492554
78	0.3082433147
79	0.3074800662
80	0.306693921
81	0.3055951932
82	0.304626539
83	0.3038121431
84	0.3031207398
85	0.3022514427
86	0.3014055463
87	0.3005962161
88	0.3000566767
89	0.2991603782
90	0.2984714883
91	0.2981957565
92	0.2975411574
93	0.2969685145
94	0.2963563582
95	0.2957277068
96	0.2955307084
97	0.295048881
98	0.2943331731
99	0.293807562
100	0.2933511375
101	0.293153279
102	0.2927814748
103	0.2923963829
104	0.2919548592
105	0.2917997434
106	0.291221206
107	0.2910545475
108	0.2909085044
109	0.2907632976
110	0.2906271382
111	0.2899123962
112	0.289306624
113	0.2888994075
114	0.2887588405
115	0.2886230792
116	0.2884945093
117	0.2883198528
118	0.2877712733
119	0.2873359889
120	0.286867649
121	0.2862251456
122	0.2861089857
123	0.2860010506
124	0.2859054706
125	0.2853160347
126	0.2850830775
127	0.2849793306
128	0.2848956751
129	0.2844052708
130	0.284315108
131	0.2841035101
132	0.2840152059
133	0.2839325022
134	0.2835402526
135	0.2832501854
136	0.2828162318
137	0.2827411004
138	0.2826619987
139	0.2825043312
140	0.2823337733
141	0.2818211402
142	0.2813573902
143	0.2812893718
144	0.2811484243
145	0.2809098129
146	0.2805334344
147	0.2804168438
148	0.2799481589
149	0.2795297679
150	0.2789804814
151	0.2785719999
152	0.2783364492
153	0.2780612408
154	0.2778769331
155	0.277405688
156	0.2772942877
157	0.2770113427
158	0.2766557016
159	0.2761963488
160	0.2758723129
161	0.2758225142
162	0.2754699294
163	0.2754090369
164	0.2749648589
165	0.2746077215
166	0.2745474657
167	0.2743746337
168	0.2739811116
169	0.2735531108
170	0.273293086
171	0.2728548867
172	0.2723370694
173	0.2722930133
174	0.2722504813
175	0.2719731012
176	0.2717332998
177	0.2713840606
178	0.2709099414
179	0.2706129526
180	0.2703651186
181	0.2703320636
182	0.2699932516
183	0.269660922
184	0.2694058957
185	0.2693675897
186	0.2689556216
187	0.2686764981
188	0.2683219423
189	0.2679777559
190	0.2677438127
191	0.2674386
192	0.2672317388
193	0.2671969419
194	0.2668289036
195	0.2668021664
196	0.2664375842
197	0.2662183957
198	0.2657925329
199	0.2655856547
200	0.2652581684
201	0.2650481697
202	0.2650192699
203	0.2648344222
204	0.264559714
205	0.2645297346
206	0.2644952207
207	0.2642212591
208	0.2639834347
209	0.2636792934
210	0.2633700234
211	0.2631504113
212	0.2629121412
213	0.2626830402
214	0.2624106188
215	0.2621899441
216	0.261814675
217	0.2615343186
218	0.2613137161
219	0.2611424299
220	0.2608489503
221	0.2605003447
222	0.2600751196
223	0.2596665044
224	0.2596423745
225	0.2593389147
226	0.2591504432
227	0.2589380503
228	0.258742344
229	0.2583361656
230	0.2581466271
231	0.2579360682
232	0.2576061863
233	0.2574419966
234	0.2571778894
235	0.2569391463
236	0.2567131135
237	0.2565492838
238	0.2563016213
239	0.2560231517
240	0.2560000104
241	0.2558525209
242	0.2556299397
243	0.2554370177
244	0.2551897115
245	0.2549625853
246	0.2547108184
247	0.2544075681
248	0.2542431625
249	0.2541011942
250	0.2539475775
251	0.2536586273
252	0.2533079147
253	0.2531265234
254	0.2529649324
255	0.2527789308
256	0.2526219105
257	0.2524652979
258	0.2522901393
259	0.2521825856
260	0.2519283444
261	0.2517412869
262	0.2515804671
263	0.2514202256
264	0.2511650756
265	0.2509019611
266	0.2506310726
267	0.2503499481
268	0.2501891629
269	0.2499802939
270	0.2496253828
271	0.2495037804
272	0.2493431845
273	0.249146173
274	0.2490071159
275	0.2488570174
276	0.2486665839
277	0.2484991666
278	0.2484856673
279	0.2481867268
280	0.2479692324
281	0.2479435242
282	0.2477422062
283	0.2474557526
284	0.2472304754
285	0.2469431215
286	0.2467127878
287	0.2464033207
288	0.2463835301
289	0.2461565301
290	0.2460349626
291	0.2459263413
292	0.2456816984
293	0.2455569459
294	0.245264813
295	0.2450898741
296	0.2449587976
297	0.2449436314
298	0.2448131795
299	0.2446626243
300	0.2444741751
301	0.2442746507
302	0.2440464717
303	0.2437244446
304	0.2437017374
305	0.2435032018
306	0.243483639
307	0.2433147839
308	0.2431725622
309	0.2429525661
310	0.2427247872
311	0.2424434308
312	0.2423018303
313	0.2421787572
314	0.2419769701
315	0.2418406355
316	0.2417047409
317	0.2415142203
318	0.2413328116
319	0.2411305757
320	0.2409565844
321	0.2407018335
322	0.2405354951
323	0.2403806848
324	0.2402997406
325	0.2402274372
326	0.2401171182
327	0.2398678248
328	0.2397540513
329	0.2397416442
330	0.2397236436
331	0.2396177133
332	0.2395123545
333	0.2393299493
334	0.2391936504
335	0.2390088262
336	0.2385149621
337	0.2381994743
338	0.2379035743
339	0.2378283628
340	0.2377134024
341	0.2375478816
342	0.2373638008
343	0.2372319161
344	0.2370945032
345	0.2370162956
346	0.2367537318
347	0.2366349978
348	0.2365152924
349	0.2362621772
350	0.2361189605
351	0.2359987693
352	0.2358707518
353	0.23569264
354	0.2354325262
355	0.2352692915
356	0.2350728445
357	0.2349207585
358	0.2347555009
359	0.2346234693
360	0.2344149141
361	0.2342503146
362	0.2340838605
363	0.2339035601
364	0.2337079359
365	0.2335999144
366	0.2333748363
367	0.2331944933
368	0.2329657205
369	0.2327172961
370	0.2324742448
371	0.2322686884
372	0.2321186418
373	0.2318719839
374	0.2318024509
375	0.2316173182
376	0.2315414941
377	0.2314107419
378	0.2312834053
379	0.231063474
380	0.2308840259
381	0.2308194907
382	0.2306343667
383	0.2305037255
384	0.2303178955
385	0.2300901378
386	0.2299020737
387	0.2298052895
388	0.2296900037
389	0.2295483176
390	0.2294180929
391	0.2293932281
392	0.2292436095
393	0.2290164784
394	0.2287954786
395	0.2286962879
396	0.2286786347
397	0.2286355656
398	0.2285013024
399	0.2283696881
400	0.2282303404
401	0.2280140396
402	0.2279116218
403	0.2277298587
404	0.2275626853
405	0.2274181834
406	0.2272573557
407	0.2271430629
408	0.2269182467
409	0.2268492957
410	0.2266123463
411	0.226498793
412	0.2263187461
413	0.2262742539
414	0.2261166096
415	0.2258710204
416	0.2258176846
417	0.2256880667
418	0.2254770483
419	0.2253252081
420	0.2251940425
421	0.2250082404
422	0.2249129632
423	0.2247778515
424	0.224599528
425	0.2245253216
426	0.224349764
427	0.2242490266
428	0.224139423
429	0.2240735503
430	0.2237704296
431	0.2236193306
432	0.2234998219
433	0.2234394836
434	0.2233209698
435	0.223185843
436	0.2230656767
437	0.2228729095
438	0.222780764
439	0.2226371522
440	0.2225240414
441	0.2223974315
442	0.2222923505
443	0.2221112541
444	0.2219808663
445	0.2219593589
446	0.221838286
447	0.2216266106
448	0.2215752375
449	0.2214770785
450	0.2213743447
451	0.2212361593
452	0.2211252686
453	0.2210339653
454	0.2209243555
455	0.2208426185
456	0.2207462631
457	0.2205731547
458	0.2204524846
459	0.220348527
460	0.2202658465
461	0.22017854
462	0.2200431509
463	0.2198710649
464	0.2197825874
465	0.2197204712
466	0.2195174702
467	0.21938417
468	0.2193077743
469	0.2191672017
470	0.2189418185
471	0.2188150512
472	0.2187156481
473	0.2184985916
474	0.2183608687
475	0.2179555485
476	0.2177904603
477	0.2176830846
478	0.2176126771
479	0.2174256607
480	0.2171722405
481	0.2169075354
482	0.2167887299
483	0.2166994135
484	0.2166061983
485	0.2165016082
486	0.2164345925
487	0.216260964
488	0.2159045386
489	0.2158098717
490	0.2156046464
491	0.2155327197
492	0.2153886235
493	0.2150748549
494	0.2149687878
495	0.2148412034
496	0.2147630816
497	0.2146742439
498	0.2145602732
499	0.2144034977
